id,name,category,default_unit,shelf_life_days,storage,notes
I001,시금치,채소,단,3,냉장,오래 못 둠
I002,콩나물,채소,봉지,3,냉장,물기 빼고 보관
I003,깻잎,채소,단,5,냉장,키친타올 감싸기
I004,양파,채소,개,30,실온,통풍 잘 되는 곳
I005,대파,채소,단,7,냉장,썰어서 냉동 OK
I006,쪽파,채소,단,5,냉장,다듬어 보관
I007,마늘,채소,통,30,실온,깐 것은 냉장
I008,다진마늘,양념,통,60,냉장,냉동 추천
I009,생강,채소,조각,21,냉장,다져서 냉동 가능
I010,당근,채소,개,14,냉장,신문지 감싸기
I011,감자,채소,개,30,실온,어둡고 서늘한 곳
I012,고구마,채소,개,30,실온,냉장 비추
I013,양배추,채소,통,14,냉장,랩 씌우기
I014,오이,채소,개,7,냉장,신문지 감싸기
I015,가지,채소,개,7,냉장,쉽게 무름
I016,애호박,채소,개,7,냉장,
I017,무,채소,개,21,냉장,잎 제거 후 보관
I018,우엉,채소,개,14,냉장,껍질째 보관
I019,연근,채소,개,7,냉장,갈변 주의
I020,파프리카,채소,개,10,냉장,
I021,피망,채소,개,7,냉장,
I022,청양고추,채소,개,14,냉장,냉동 가능
I023,꽈리고추,채소,개,7,냉장,
I024,브로콜리,채소,송이,7,냉장,데쳐 냉동 추천
I025,새송이버섯,채소,팩,7,냉장,
I026,표고버섯,채소,팩,7,냉장,건조도 가능
I027,팽이버섯,채소,팩,5,냉장,
I028,양송이버섯,채소,팩,5,냉장,
I029,토마토,채소,개,7,냉장,
I030,방울토마토,채소,팩,7,냉장,
I031,돼지고기 삼겹살,육류,g,3,냉장,냉동 시 14일
I032,돼지고기 앞다리살,육류,g,3,냉장,냉동 시 14일
I033,돼지고기 다짐육,육류,g,2,냉장,당일 사용 권장
I034,돼지고기 등심,육류,g,3,냉장,돈까스용
I035,소고기 불고기용,육류,g,3,냉장,냉동 시 14일
I036,소고기 장조림용,육류,g,3,냉장,홍두깨/사태
I037,소고기 다짐육,육류,g,2,냉장,당일 사용 권장
I038,닭가슴살,육류,g,3,냉장,냉동 시 21일
I039,닭다리살,육류,g,3,냉장,냉동 시 21일
I040,닭안심,육류,g,3,냉장,
I041,햄,가공식품,팩,14,냉장,개봉 후 빠르게
I042,비엔나소시지,가공식품,팩,14,냉장,
I043,스팸,가공식품,캔,365,실온,개봉 후 냉장 5일
I044,베이컨,가공식품,팩,14,냉장,
I045,어묵,가공식품,팩,7,냉장,
I046,새우,해산물,팩,2,냉장,냉동 추천
I047,오징어,해산물,마리,2,냉장,
I048,멸치,해산물,팩,90,냉동,냉동 보관
I049,진미채,해산물,팩,30,냉장,
I050,통조림 참치,가공식품,캔,730,실온,개봉 후 즉시
I051,계란,계란,개,21,냉장,
I052,메추리알,계란,팩,14,냉장,삶은 것 5일
I053,우유,유제품,팩,10,냉장,개봉 후 3일
I054,치즈 슬라이스,유제품,팩,30,냉장,
I055,모짜렐라치즈,유제품,팩,14,냉장,냉동 가능
I056,버터,유제품,팩,30,냉장,
I057,요거트,유제품,통,14,냉장,
I058,두유,유제품,팩,14,냉장,
I059,두부 (찌개용),두부,모,5,냉장,물에 담가 보관
I060,두부 (부침용),두부,모,5,냉장,물기 빼기
I061,연두부,두부,팩,5,냉장,
I062,유부,두부,팩,14,냉장,초밥용은 별도
I063,진간장,양념,병,365,실온,개봉 후 6개월
I064,국간장,양념,병,365,실온,
I065,된장,양념,통,180,냉장,
I066,고추장,양념,통,180,냉장,
I067,쌈장,양념,통,90,냉장,
I068,식초,양념,병,365,실온,
I069,설탕,양념,kg,730,실온,
I070,올리고당,양념,병,180,실온,
I071,물엿,양념,병,365,실온,
I072,매실청,양념,병,365,냉장,
I073,소금,양념,kg,1095,실온,장기 보관 가능
I074,후추,양념,통,365,실온,
I075,참기름,양념,병,180,실온,직사광선 피하기
I076,들기름,양념,병,90,냉장,쉽게 산패
I077,식용유,양념,병,365,실온,
I078,올리브유,양념,병,365,실온,
I079,고춧가루,양념,kg,180,냉동,냉동 보관 추천
I080,청주/맛술,양념,병,365,실온,
I081,굴소스,양념,병,365,냉장,개봉 후 냉장
I082,참깨,양념,병,180,냉장,
I083,백미,곡류,kg,180,실온,서늘한 곳
I084,현미,곡류,kg,90,실온,
I085,검은콩,곡류,kg,180,실온,
I086,부침가루,곡류,kg,180,실온,
I087,빵가루,곡류,팩,180,실온,
I088,카레가루,양념,팩,365,실온,
I089,김 (조미김),해조,팩,90,실온,습기 주의
I090,김자반,해조,통,60,실온,
I091,미역,해조,팩,365,실온,건조 미역
I092,다시마,해조,팩,365,실온,
I093,마요네즈,양념,병,90,냉장,개봉 후 냉장
I094,케첩,양념,병,180,냉장,개봉 후 냉장
I095,데미글라스 소스,양념,캔,180,실온,개봉 후 냉장
I096,통조림 옥수수,가공식품,캔,730,실온,개봉 후 즉시
I097,김치,발효,통,30,냉장,묵을수록 깊어짐
I098,깍두기,발효,통,30,냉장,
I099,단무지,가공식품,팩,60,냉장,
I100,새우젓,양념,통,180,냉장,
