id,name,category,cooking_time,difficulty,required_ingredients,optional_ingredients,tags,description
M001,시금치무침,반찬-나물,10,쉬움,"시금치, 다진마늘, 간장, 참기름, 참깨",쪽파,"한식, 나물",데친 시금치 기본 밑반찬
M002,콩나물무침,반찬-나물,10,쉬움,"콩나물, 다진마늘, 소금, 참기름, 참깨","쪽파, 고춧가루","한식, 나물",아삭한 콩나물 기본 무침
M003,미역줄기볶음,반찬-나물,15,쉬움,"미역, 다진마늘, 양파, 들기름, 참깨","당근, 청양고추","한식, 해조",쫄깃한 미역줄기 볶음
M004,멸치볶음,반찬-볶음,10,쉬움,"멸치, 식용유, 진간장, 올리고당, 참깨",청양고추,"한식, 칼슘",도시락 단골 멸치볶음
M005,어묵볶음,반찬-볶음,15,쉬움,"어묵, 양파, 당근, 진간장, 올리고당, 참기름","대파, 청양고추","한식, 볶음",달짝한 어묵볶음
M006,진미채무침,반찬-무침,15,쉬움,"진미채, 마요네즈, 고추장, 올리고당, 참깨",참기름,"한식, 무침",매콤달콤 진미채 무침
M007,감자조림,반찬-조림,25,쉬움,"감자, 진간장, 올리고당, 다진마늘, 참깨","당근, 양파","한식, 조림",도시락 인기 감자조림
M008,메추리알장조림,반찬-조림,30,쉬움,"메추리알, 진간장, 올리고당, 다진마늘","꽈리고추, 청양고추","한식, 조림, 단백질",도시락 한 알 메추리알
M009,콩자반,반찬-조림,30,쉬움,"검은콩, 진간장, 올리고당, 참깨",물엿,"한식, 조림",달콤짭짤 콩자반
M010,김치볶음,반찬-볶음,10,쉬움,"김치, 양파, 식용유, 설탕, 참기름","통조림 참치, 돼지고기 다짐육","한식, 볶음",남은 김치 활용 볶음
M011,무생채,반찬-무침,10,쉬움,"무, 고춧가루, 식초, 설탕, 소금, 다진마늘","쪽파, 참깨","한식, 무침",새콤달콤 무생채
M012,애호박볶음,반찬-볶음,10,쉬움,"애호박, 양파, 새우젓, 식용유, 다진마늘","고춧가루, 참깨","한식, 채소",부드러운 애호박볶음
M013,가지볶음,반찬-볶음,15,쉬움,"가지, 진간장, 다진마늘, 참기름, 참깨","양파, 청양고추","한식, 채소",쫀득한 가지 볶음
M014,오이무침,반찬-무침,10,쉬움,"오이, 식초, 설탕, 고춧가루, 소금","쪽파, 참깨","한식, 무침",여름철 시원한 오이무침
M015,깻잎장아찌,반찬-장아찌,15,쉬움,"깻잎, 진간장, 식초, 설탕, 다진마늘","고춧가루, 청양고추","한식, 장아찌",도시락 인기 깻잎장아찌
